gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
ASH1L,ENSG00000116539,-0.1599,0.04213747603426049,0.07700986999364848,0.4947,0.5527,0.283,0.338
TUBA1A,ENSG00000167552,0.2534,0.042230901405829635,0.0770899324307338,0.4725,0.3964,0.269,0.254
WDTC1,ENSG00000142784,0.5184,0.042218314714960826,0.0770899324307338,0.2415,0.1686,0.146,0.117
STX16,ENSG00000124222,0.4335,0.042234498186280986,0.0770899324307338,0.3096,0.2292,0.18,0.155
C1RL,ENSG00000139178,0.3055,0.04227587979243103,0.07713307035176545,0.4059,0.3284,0.236,0.217
EEA1,ENSG00000102189,-0.1794,0.04245288711988143,0.07740476480416038,0.3094,0.3504,0.184,0.23
MGMT,ENSG00000170430,0.2344,0.04246041401130197,0.07740476480416038,0.4646,0.3949,0.274,0.257
ELOVL1,ENSG00000066322,0.1989,0.042605451320621414,0.07760406179355434,0.5094,0.4438,0.302,0.287
SELENOT,ENSG00000198843,0.1136,0.04259548736792201,0.07760406179355434,0.6692,0.6185,0.389,0.394
COMMD1,ENSG00000173163,0.2221,0.042783624585952994,0.07789594991644394,0.4971,0.4261,0.287,0.276
HMGXB3,ENSG00000113716,-0.3699,0.04280666050654105,0.07790525400394782,0.1333,0.1722,0.081,0.119
RAD23B,ENSG00000119318,0.1474,0.04338045645880976,0.07883310072794338,0.6214,0.5611,0.357,0.359
SPRING1,ENSG00000111412,-0.1385,0.043359611605532034,0.07883310072794338,0.4773,0.5254,0.277,0.336
C19orf48P,ENSG00000167747,-0.2934,0.043377083923355764,0.07883310072794338,0.1455,0.1783,0.087,0.126
IFI16,ENSG00000163565,0.6997,0.04338904209416487,0.07883310072794338,0.1926,0.1185,0.114,0.083
GON7,ENSG00000170270,-0.2588,0.04343506101831373,0.07888373388449288,0.1703,0.2038,0.104,0.144
TSG101,ENSG00000074319,-0.1406,0.04359737578296272,0.07914544492596325,0.3654,0.4029,0.216,0.268
LMF2,ENSG00000100258,0.4761,0.04380346238421998,0.07948636639741964,0.2777,0.1996,0.165,0.138
DCTN6,ENSG00000104671,-0.1459,0.043958876705978055,0.07973509105349777,0.3032,0.3355,0.182,0.23
KCNK1,ENSG00000135750,0.3636,0.04403272171723631,0.07980242226151334,0.3364,0.2614,0.196,0.173
ALYREF,ENSG00000183684,-0.4099,0.04401844099337597,0.07980242226151334,0.1254,0.1666,0.076,0.113
TMPO,ENSG00000120802,-0.3309,0.04408739712407396,0.07986820671164044,0.1416,0.1781,0.086,0.124
FCHSD2,ENSG00000137478,-0.4964,0.04424428473865681,0.08005231535145815,0.1254,0.1769,0.074,0.11
HTATSF1,ENSG00000102241,-0.1856,0.04424054385062157,0.08005231535145815,0.2171,0.2469,0.129,0.172
PDCD2,ENSG00000071994,-0.1523,0.04423368624921911,0.08005231535145815,0.2973,0.3304,0.18,0.227
SPRYD7,ENSG00000123178,-0.2157,0.04429543697071845,0.08011151438815746,0.2099,0.2438,0.127,0.168
DDB2,ENSG00000134574,0.762,0.04447893373573079,0.08040991930760649,0.1777,0.1047,0.105,0.074
SYT17,ENSG00000103528,0.7364,0.04455696488990724,0.08051749247880952,0.1819,0.1091,0.106,0.074
MPV17,ENSG00000115204,0.2129,0.04459210088009791,0.08054749394218849,0.518,0.4469,0.3,0.293
PLOD1,ENSG00000083444,0.6907,0.04479301166548449,0.08086765149241695,0.1772,0.1097,0.11,0.079
ZNF37A,ENSG00000075407,-0.3281,0.044806558857280264,0.08086765149241695,0.1345,0.1689,0.08,0.117
MFAP1,ENSG00000140259,-0.2984,0.04492706011030914,0.08102126071966027,0.1554,0.1912,0.094,0.133
ZFHX3,ENSG00000140836,0.3932,0.044928954977998446,0.08102126071966027,0.3024,0.2302,0.18,0.153
MED31,ENSG00000108590,-0.2024,0.04511529615040739,0.08132354917862733,0.2511,0.2889,0.151,0.193
TRAF7,ENSG00000131653,-0.1925,0.045210139473723515,0.08146072394394792,0.2169,0.2479,0.132,0.175
CISH,ENSG00000114737,0.2145,0.04525142809831182,0.08150132885008833,0.5143,0.4433,0.293,0.283
CYP1B1,ENSG00000138061,-0.3194,0.045273355739899684,0.08150704392941342,0.1863,0.2325,0.113,0.151
LPGAT1,ENSG00000123684,0.7499,0.04546153792598102,0.08180103482415654,0.1849,0.1099,0.108,0.077
DDX39B,ENSG00000198563,0.5349,0.04547429823634658,0.08180103482415654,0.2236,0.1543,0.135,0.104
SLC25A26,ENSG00000144741,-0.407,0.045675031139766335,0.0820878452774019,0.1232,0.1634,0.076,0.113
DCAF10,ENSG00000122741,-0.272,0.04569040444685577,0.0820878452774019,0.1765,0.2131,0.108,0.147
TNRC6C,ENSG00000078687,-0.4278,0.04567855380431176,0.0820878452774019,0.1175,0.158,0.071,0.107
EBAG9,ENSG00000147654,-0.1353,0.04572821569334962,0.08212182867904855,0.5471,0.6009,0.313,0.38
GLIS3,ENSG00000107249,-0.3301,0.04575194127867562,0.08213049847051808,0.2215,0.2785,0.131,0.167
COASY,ENSG00000068120,-0.2019,0.04584758985170534,0.08226821861912115,0.2218,0.2552,0.134,0.176
HBEGF,ENSG00000113070,0.5258,0.04592345785950794,0.08237034579340549,0.2753,0.1912,0.15,0.123
EHF,ENSG00000135373,-0.1406,0.0460000758864673,0.08244549726902935,0.4283,0.4722,0.247,0.301
PKN1,ENSG00000123143,-0.1802,0.04600329748674555,0.08244549726902935,0.1959,0.2219,0.113,0.155
INPPL1,ENSG00000165458,0.5279,0.04610326139072843,0.08256927714904722,0.2638,0.1829,0.152,0.125
KRTCAP3,ENSG00000157992,0.1439,0.0461103625496405,0.08256927714904722,0.6217,0.5627,0.361,0.359
