gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
SNRPD2,ENSG00000125743,-4.7169,5.765003771099443e-241,2.0647134292561207e-239,0.0529,1.3924,0.028,0.727
NPM1,ENSG00000181163,-2.509,1.3596379332111628e-240,4.842285935319085e-239,0.3169,1.8045,0.155,0.836
UBC,ENSG00000150991,-2.3663,4.736700749443834e-239,1.6775815154280244e-237,0.3718,1.9175,0.172,0.862
CFL1,ENSG00000172757,-3.6211,6.911546641412827e-239,2.4343154607186063e-237,0.1211,1.4913,0.065,0.755
SKP1,ENSG00000113558,-3.0847,1.0774169518808884e-238,3.773919268264101e-237,0.1842,1.5631,0.094,0.784
NEAT1,ENSG00000245532,0.3145,3.1445875788026845e-237,1.095450590976345e-235,3.1107,2.5014,0.967,0.971
ATP5MF,ENSG00000241468,-4.403,3.808926463700449e-237,1.3196688155483894e-235,0.0661,1.3994,0.035,0.729
COMMD6,ENSG00000188243,-4.352,6.051993489720807e-236,2.0854842430794673e-234,0.0679,1.3877,0.039,0.727
ATP5F1D,ENSG00000099624,-4.2945,1.3307402349610252e-235,4.56100483756803e-234,0.0706,1.3865,0.039,0.726
MRPL14,ENSG00000180992,-3.126,1.802741933809824e-234,6.145711137988036e-233,0.1778,1.5529,0.089,0.775
C12orf57,ENSG00000111678,-4.8894,2.7619297680909977e-233,9.365586314670271e-232,0.0458,1.3617,0.023,0.713
UQCRH,ENSG00000173660,-4.088,3.772510673762943e-233,1.2724738383724213e-231,0.084,1.4303,0.041,0.735
ATP5MJ,ENSG00000156411,-3.8588,8.776621755898893e-233,2.944787562834497e-231,0.0981,1.4245,0.055,0.737
AK1,ENSG00000106992,-3.3493,9.915558829416307e-233,3.3095124365198407e-231,0.1531,1.5612,0.078,0.759
ITM2B,ENSG00000136156,-2.8681,7.324180798100117e-231,2.4318569056191793e-229,0.2184,1.5952,0.109,0.792
RPS17,ENSG00000182774,-2.4949,1.7616983498966076e-230,5.819081337093717e-229,0.3358,1.8934,0.158,0.811
CALM1,ENSG00000198668,-3.1699,2.1988878727256567e-230,7.22572690135364e-229,0.1707,1.5371,0.086,0.767
WDR83OS,ENSG00000105583,-4.3305,2.7961143384744036e-229,9.141143029627858e-228,0.0673,1.3556,0.037,0.717
PDE4D,ENSG00000113448,1.4808,4.6127637109354024e-229,1.5003249314904689e-227,2.459,0.881,0.847,0.477
ALDOA,ENSG00000149925,-5.9644,4.970411758389537e-229,1.6084454294280862e-227,0.0215,1.3497,0.009,0.697
EIF3K,ENSG00000178982,-4.449,1.2318541513807188e-226,3.9661970783091323e-225,0.0613,1.341,0.033,0.71
LDHB,ENSG00000111716,-2.3015,1.4074506496027952e-226,4.5087929101597084e-225,0.364,1.7948,0.176,0.837
VAMP8,ENSG00000118640,-3.4878,2.5316649585261185e-225,8.069682055302003e-224,0.1288,1.4459,0.064,0.744
SMDT1,ENSG00000183172,-5.5457,2.7351239810461e-225,8.67483352197457e-224,0.0277,1.2965,0.015,0.693
ATP5MC3,ENSG00000154518,-5.0293,2.0821187217981645e-224,6.5710429957739104e-223,0.04,1.3085,0.024,0.697
APRT,ENSG00000198931,-5.2958,3.3025992526933624e-224,1.0371463170404032e-222,0.033,1.3013,0.019,0.692
SERP1,ENSG00000120742,-2.2896,8.331839597496768e-224,2.60369987421774e-222,0.3568,1.7446,0.173,0.834
SFTPC,ENSG00000168484,-1.3204,3.6826089423588374e-223,1.145201561343297e-221,1.2207,3.0487,0.429,0.972
LGALS3,ENSG00000131981,-2.5826,5.2593491141456505e-223,1.6275898350814816e-221,0.2785,1.6688,0.132,0.806
ANAPC11,ENSG00000141552,-5.976,1.0171010781790741e-222,3.13237650888483e-221,0.0201,1.2688,0.013,0.684
ATP5PF,ENSG00000154723,-5.36,4.519374820958834e-222,1.3851449270967579e-220,0.031,1.2772,0.018,0.688
ZFP36,ENSG00000128016,-2.9328,5.863548574593806e-221,1.7885225915327996e-219,0.219,1.673,0.099,0.773
KRT18,ENSG00000111057,-2.9605,4.6282478255226355e-220,1.4050038041765141e-218,0.2018,1.5714,0.099,0.769
BEX3,ENSG00000166681,-3.8384,5.2018768887062774e-219,1.5716571168484606e-217,0.0973,1.3926,0.051,0.719
