rank,gene_symbol,ensembl_id,log2FC,pvalue,padj
85,VIM,ENSG00000026025,0.5880836959963789,0.001130913835407073,0.042322787181528224
86,PLPP2,ENSG00000141934,0.8977719177059197,0.0012096002559325997,0.0438963869180984
87,LAMP3,ENSG00000078081,-0.8363218946075923,0.001219268808770057,0.0438963869180984
88,SELENOP,ENSG00000250722,-0.6771616186815989,0.0012204718098013097,0.0438963869180984
89,S100A8,ENSG00000143546,-3.752101696422439,0.0012281604639141016,0.0438963869180984
90,CHI3L1,ENSG00000133048,-1.2565792640412607,0.0012987580354016843,0.045636960040731325
91,MUC16,ENSG00000181143,1.6212545726536982,0.0013055527707345335,0.045636960040731325
92,CDKN1A,ENSG00000124762,0.7227902803835246,0.001356828820846907,0.0462505090420984
93,BCAM,ENSG00000187244,0.6240842500348612,0.0013650712317071676,0.0462505090420984
94,TXN,ENSG00000136810,-0.3771043963803861,0.0013667236246328984,0.0462505090420984
95,HSD17B6,ENSG00000025423,-1.3701687137414986,0.001411038034445716,0.046529299701170035
96,PSMA7,ENSG00000101182,-0.5624738864438253,0.0014188437821482218,0.046529299701170035
97,MT-CYB,ENSG00000198727,-0.10337631320572727,0.0014188437821482218,0.046529299701170035
98,PLIN2,ENSG00000147872,-1.5312938543265824,0.0014820574078307689,0.04771162857351816
99,TSPAN1,ENSG00000117472,0.8084027349382555,0.0015137029646736565,0.04771162857351816
100,HOPX,ENSG00000171476,-0.4851882096125081,0.0015285319857671702,0.04771162857351816
101,RPL23,ENSG00000125691,-0.4876375390696114,0.0015286226932887186,0.04771162857351816
102,TOX,ENSG00000198846,-1.8638894393896996,0.0015298918939009283,0.04771162857351816
103,PI3,ENSG00000124102,-1.7109658086868684,0.0015468644504221237,0.04777258074556093
104,CLU,ENSG00000120885,0.6277343574062839,0.0015831262881996803,0.04842235310349215
105,FHL2,ENSG00000115641,3.275266797408932,0.0016024195672171733,0.048545682317312655
106,CLDN18,ENSG00000066405,-1.1241076532248533,0.0016326573451544298,0.04899512278241736
107,SDR16C5,ENSG00000170786,-0.8728225391692948,0.0017960811976662277,0.052932397804551806
108,HSPB8,ENSG00000152137,-2.022098003570258,0.001797138938350077,0.052932397804551806
109,MT-ND2,ENSG00000198763,-0.13179083353933052,0.0019066118283995294,0.05540625110436736
110,PEBP1,ENSG00000089220,-0.42780519685964313,0.001941590351880661,0.05540625110436736
111,CD36,ENSG00000135218,-0.9825018378938035,0.0019477515238503053,0.05540625110436736
112,PLAUR,ENSG00000011422,-1.7629709397108582,0.001950801673589797,0.05540625110436736
113,SOX4,ENSG00000124766,0.6401578760924306,0.0020482450150713875,0.057153222745105994
114,SEC11A,ENSG00000140612,-0.6823819756441007,0.0020482450150713875,0.057153222745105994
115,SLC6A14,ENSG00000268104,-0.7246040005594934,0.0021440408938600605,0.05930603550755524
116,EGFL7,ENSG00000172889,-1.0226190768442152,0.002241907525696759,0.061478515855529235
117,FHL1,ENSG00000022267,-15.328045680168156,0.0023743943062847555,0.06347015368312443
118,IRF4,ENSG00000137265,-15.58413898054001,0.0023743943062847555,0.06347015368312443
119,EMSY-DT,ENSG00000255135,-15.565647090474256,0.0023743943062847555,0.06347015368312443
120,SLC7A2,ENSG00000003989,-1.526996405229906,0.0024312156964511463,0.06444747608675913
121,SELENOW,ENSG00000178980,0.2791992135723447,0.0024551014626971006,0.06454279134578081
122,MGST1,ENSG00000008394,-0.26117647872200367,0.002544295859505819,0.06633938630400009
123,TSPAN8,ENSG00000127324,1.5771350258004542,0.0026150492622331865,0.06660164132185668
124,IGFBP2,ENSG00000115457,0.9604679594822643,0.0026178655772702724,0.06660164132185668
125,TUBA1B,ENSG00000123416,-0.6101574833333574,0.0026336069752205394,0.06660164132185668
