gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
GLRX5,ENSG00000182512,-0.4888,0.011434881616450109,0.038678355329375025,0.2438,0.3422,0.132,0.235
SEC11A,ENSG00000140612,-0.3479,0.01143323035322595,0.038678355329375025,0.9824,1.2504,0.479,0.675
ZNF524,ENSG00000171443,-0.5632,0.011443554221858398,0.038682224731518715,0.2384,0.3523,0.132,0.235
NSMCE4A,ENSG00000107672,-0.6889,0.011468779195329307,0.038742003619725164,0.1748,0.2819,0.1,0.195
ALAS1,ENSG00000023330,-0.5772,0.011498823871610133,0.03881797441020556,0.2203,0.3288,0.118,0.219
ITM2B,ENSG00000136156,-0.291,0.011590630870159562,0.03908641123707311,1.3038,1.5952,0.621,0.792
GGCT,ENSG00000006625,-0.4298,0.01159355599947439,0.03908641123707311,0.3557,0.4791,0.2,0.309
GANC,ENSG00000214013,-0.4631,0.01160233531794454,0.03909035991055675,0.2788,0.3843,0.139,0.242
SAV1,ENSG00000151748,-0.667,0.011636044043300701,0.03917824003570053,0.1858,0.295,0.104,0.2
MYO1D,ENSG00000176658,0.9052,0.011653455753932392,0.039211169393388756,0.4497,0.2401,0.221,0.148
PXMP2,ENSG00000176894,-0.8965,0.011682035756915616,0.03928160976376468,0.1348,0.251,0.082,0.174
ACSS2,ENSG00000131069,-0.317,0.011714473462729691,0.03936492128940821,0.5129,0.6389,0.264,0.392
GNS,ENSG00000135677,-0.5999,0.011743186157860267,0.03943561469221311,0.2172,0.3292,0.125,0.224
PLS1,ENSG00000120756,-0.9172,0.011808230458452229,0.03961296276353366,0.1239,0.234,0.068,0.161
RAB13,ENSG00000143545,-0.349,0.011811416690099956,0.03961296276353366,0.59,0.7515,0.314,0.461
PDLIM4,ENSG00000131435,2.9772,0.01183523133060869,0.03965533997205486,0.1992,0.0252,0.104,0.017
CHID1,ENSG00000177830,-0.6548,0.011839488422952928,0.03965533997205486,0.1837,0.2893,0.104,0.202
NDFIP1,ENSG00000131507,-0.3204,0.011929201595481914,0.039929796610805264,0.657,0.8204,0.339,0.496
ATP6AP1,ENSG00000071553,-0.3766,0.01194163780432778,0.03994540041577873,0.3713,0.482,0.2,0.316
SDCBP,ENSG00000137575,-0.3373,0.011950006544547429,0.039947386874355686,0.5546,0.7006,0.296,0.428
FBXL5,ENSG00000118564,-0.3965,0.011970628676944576,0.039990305684097026,0.3352,0.4412,0.175,0.287
XIST,ENSG00000229807,-0.4572,0.011978800316387645,0.03999160235581529,0.4199,0.5765,0.196,0.3
DHX15,ENSG00000109606,-0.4313,0.011994081632544016,0.04001661781039685,0.3052,0.4116,0.164,0.271
MPDU1,ENSG00000129255,-0.5375,0.012019732738260503,0.040076175736004194,0.2204,0.3199,0.118,0.22
YBX1,ENSG00000065978,-0.3096,0.01202814997709717,0.040078232543660997,1.3545,1.6787,0.618,0.802
ERGIC2,ENSG00000087502,-0.5029,0.012127825206636567,0.04035800901016755,0.2477,0.351,0.136,0.239
ANAPC13,ENSG00000129055,-0.3694,0.012124563416718049,0.04035800901016755,0.4338,0.5603,0.239,0.359
NOL3,ENSG00000140939,-0.6687,0.012153947534333007,0.040418758855277015,0.1987,0.3159,0.118,0.212
BUB3,ENSG00000154473,-0.6967,0.012192568981185151,0.040520969874081054,0.1875,0.304,0.118,0.211
NAXE,ENSG00000163382,-0.3487,0.012242698186502877,0.04063500212031769,0.547,0.6966,0.293,0.43
KRCC1,ENSG00000172086,-0.6738,0.012237874363907462,0.04063500212031769,0.1864,0.2974,0.107,0.202
IFNGR1,ENSG00000027697,-0.4068,0.012268160757562725,0.04069322787111509,0.3134,0.4155,0.164,0.273
OSTF1,ENSG00000134996,-0.5626,0.012362957662697894,0.04098121062641406,0.227,0.3353,0.129,0.228
ARL13B,ENSG00000169379,-0.8235,0.012405050950390982,0.04109423067898702,0.1465,0.2593,0.086,0.177
BABAM1,ENSG00000105393,-0.767,0.012414816952475588,0.04110008344189405,0.1565,0.2663,0.093,0.187
DNAJB11,ENSG00000090520,-0.623,0.012434369386943572,0.04113830644566392,0.2191,0.3375,0.132,0.227
PTPN2,ENSG00000175354,-0.3081,0.012488279273190983,0.04126352341199696,0.452,0.5596,0.225,0.352
ARHGAP31,ENSG00000031081,-1.0219,0.012487386521102707,0.04126352341199696,0.1116,0.2268,0.057,0.148
BOLA1,ENSG00000178096,-1.481,0.01253657189451101,0.04136988207706973,0.0624,0.1744,0.036,0.124
CA12,ENSG00000074410,-1.5631,0.012536123983236393,0.04136988207706973,0.0656,0.194,0.039,0.127
TMEM60,ENSG00000135211,-0.6637,0.012544860809433898,0.041370664209801906,0.1837,0.291,0.104,0.198
FNDC3B,ENSG00000075420,0.5303,0.012572675268356912,0.04138935873818611,0.6923,0.4794,0.332,0.289
S100A16,ENSG00000188643,0.3836,0.012574696183399868,0.04138935873818611,0.7083,0.5429,0.364,0.342
DDX5,ENSG00000108654,-0.2486,0.012574696183399868,0.04138935873818611,1.4481,1.7204,0.679,0.83
