logFC,pval,nhood_annotation,contrast,SpatialFDR
-0.7018597912953478,0.16997127009602475,Myeloid,IPF_vs_Normal,0.2551026099422803
-3.0743883591146406,0.004441312920186246,Endothelial (Macro),IPF_vs_Normal,0.011956282573366915
1.4755120128472887,0.010709757807494351,Myeloid,IPF_vs_Normal,0.023246742897931553
-0.006239969859745009,0.9917543830252759,Myeloid,IPF_vs_Normal,0.999127929492261
-1.0509629306337587,0.10704462637732616,Myeloid,IPF_vs_Normal,0.1688706143021727
-32.94126571381533,0.9988195399015466,AT1,IPF_vs_Normal,0.999127929492261
2.1727013815924616,1.9021308179823105e-05,Endothelial (Macro),IPF_vs_Normal,0.00012326089308048897
-32.99005176493471,0.9986782509928512,AT2,IPF_vs_Normal,0.999127929492261
-32.94248669414342,0.9989496389192155,AT1,IPF_vs_Normal,0.999127929492261
-32.62991346875425,0.9985679027644278,Airway Epithelium,IPF_vs_Normal,0.999127929492261
-0.10319006974969272,0.8436949809250001,Endothelial (Micro),IPF_vs_Normal,0.999127929492261
-2.0293711532721415,0.0063752131303248735,Myeloid,IPF_vs_Normal,0.01572492695657361
-0.7673413761564966,0.1703509892906383,Myeloid,IPF_vs_Normal,0.25562258430576357
-2.7467230409214753,0.0024371570221014024,Myeloid,IPF_vs_Normal,0.007496758838628161
-32.87802443779045,0.9986609650145727,Airway Epithelium,IPF_vs_Normal,0.999127929492261
-0.19287486605631132,0.696619933479074,Myeloid,IPF_vs_Normal,0.8811877718916982
0.4019418129377995,0.4825104105700456,Myeloid,IPF_vs_Normal,0.641966732989119
-3.7713062381842417,0.011817143017304714,Airway Epithelium,IPF_vs_Normal,0.025108821422139396
-1.1235837557287012,0.06917809705642314,Lymphoid,IPF_vs_Normal,0.11434096903618719
3.8878150096361077,1.2772554634216497e-10,Endothelial (Macro),IPF_vs_Normal,1.1713649033351216e-08
4.675617173454607,1.6236211861306746e-05,Proximal Epithelium,IPF_vs_Normal,0.00010760261673671941
-34.00004359922258,0.998861127567575,Airway Epithelium,IPF_vs_Normal,0.999127929492261
-34.308437156854225,0.9987174088209896,Alveolar Epithelium,IPF_vs_Normal,0.999127929492261
-34.68150656755519,0.9987884203810431,Distal Epithelium,IPF_vs_Normal,0.999127929492261
1.163589176609575,0.09247749464055122,Endothelial,IPF_vs_Normal,0.14809779388677666
1.0992288135114592,0.007530915287018817,Myeloid,IPF_vs_Normal,0.017776430630309523
0.1832533088124298,0.7255750472426268,Myeloid,IPF_vs_Normal,0.9122502829903217
4.7914550131410065,1.16476152254444e-05,Myeloid,IPF_vs_Normal,8.148253600684114e-05
-1.5122888026871049,0.00473774459906919,Endothelial,IPF_vs_Normal,0.012554240951220905
3.9640594843512766,2.218121595408141e-13,Mesothelial,IPF_vs_Normal,7.933379449315826e-11
-3.4300699147329876,0.022609098491706087,Lymphoid,IPF_vs_Normal,0.04313309835084373
2.8588605380726055,7.420713683916899e-08,Proximal Epithelium,IPF_vs_Normal,1.5809239473291544e-06
-32.60410945707371,0.9985298235486076,Airway Epithelium,IPF_vs_Normal,0.999127929492261
,,Cycling NK/T cells,IPF_vs_Normal,
4.823711946154033,6.668350600559379e-08,Myeloid,IPF_vs_Normal,1.4577271761200122e-06
-0.5749025825557132,0.33583255240746523,Myeloid,IPF_vs_Normal,0.4665511885461569
0.8807611822685257,0.12116514219721489,Distal Epithelium,IPF_vs_Normal,0.1885519936632322
4.851423782995637,5.451787545307476e-12,Myeloid,IPF_vs_Normal,9.210173362726025e-10
2.1552142592305117,0.000497018656036447,Proximal Epithelium,IPF_vs_Normal,0.002014751062219729
-4.787641270839149,0.0011900721121548422,Airway Epithelium,IPF_vs_Normal,0.004193888162486753
-1.392207377155498,0.06250669711632373,CD4+ T cells,IPF_vs_Normal,0.10453425492907943
-1.475575796231848,0.03261608401676701,Myeloid,IPF_vs_Normal,0.05902031025828393
-34.44878586883281,0.9987212634453824,Alveolar Epithelium,IPF_vs_Normal,0.999127929492261
-1.4241769116872451,0.0578931783819791,Lymphoid,IPF_vs_Normal,0.09774390483549884
-2.421137721913308,0.007740505633329265,Airway Epithelium,IPF_vs_Normal,0.018111334952288703
0.46373496077105164,0.288877143469359,Lymphoid,IPF_vs_Normal,0.4082692379890207
1.232953928775204,0.013605536401865305,Myeloid,IPF_vs_Normal,0.028117719236347666
-1.7961070211472399,0.025476894023101136,Airway Epithelium,IPF_vs_Normal,0.047813243226554746
-2.7641172158517895,0.010800410635834942,Airway Epithelium,IPF_vs_Normal,0.023395018382133072
,,Macrophages,IPF_vs_Normal,
,,Myeloid,IPF_vs_Normal,
2.8920680441303745,1.2828258588242282e-05,Myeloid,IPF_vs_Normal,8.83718364136688e-05
-4.052807939031368,0.00017736400500067794,Airway Epithelium,IPF_vs_Normal,0.0008256836771351356
-4.735781639606383,6.234860992803294e-06,Airway Epithelium,IPF_vs_Normal,4.8320799943822396e-05
0.6329020807570067,0.32551592719400746,Myeloid,IPF_vs_Normal,0.45397858216655657
4.2649182254948865,2.828101518984407e-06,Myeloid,IPF_vs_Normal,2.5924039578353494e-05
1.2180449919581233,0.020073601035993715,Distal Epithelium,IPF_vs_Normal,0.039038420918126114
-0.27462619174932623,0.6518325286189193,Airway Epithelium,IPF_vs_Normal,0.8311468927881202
-2.872630405290462,0.060827292989213765,Plasma cells,IPF_vs_Normal,0.1020002469028531
-1.195809282568948,0.04739203796252977,Myeloid,IPF_vs_Normal,0.0819394253631709
-3.019535348458484,0.004876740894898726,Myeloid,IPF_vs_Normal,0.012839528762112725
-3.313198470310381,0.00020392049981826253,Airway Epithelium,IPF_vs_Normal,0.0009339607386444514
34.75933715778498,0.9985848388930444,Proximal Epithelium,IPF_vs_Normal,0.999127929492261
-4.680576844262369,0.001583704618471797,Airway Epithelium,IPF_vs_Normal,0.005299837923049233
-3.3663416483267454,0.0015823309780863106,Airway Epithelium,IPF_vs_Normal,0.005297081923685773
1.0110907577093935,0.3390629785971494,AT1,IPF_vs_Normal,0.47048037618140764
-4.001554162705764,0.007149101033595655,Lymphoid,IPF_vs_Normal,0.017101544752952266
