umap1,umap2,nhood_annotation,nhood_size,logFC_IPF,FDR_IPF,logFC_COVID,FDR_COVID,logFC_COVIDvsIPF,FDR_COVIDvsIPF
15.007813,2.8261788,Myeloid,149,1.039375963798703,0.005834643273407422,-0.33338764028336487,0.9992162062284382,-1.3727636509248178,0.2985561389549394
0.09478528,-5.480622,Proximal Epithelium,36,3.3889862889317475,4.523988096618945e-05,0.9336522537583815,0.9992162062284382,-2.4553342542379366,0.5023388071041314
6.5396667,11.184474,Smooth Muscle,49,1.1415622989254426,0.050407032965334116,0.9118657654416331,0.9992162062284382,-0.22969586529924704,0.9993360784192652
15.711132,3.1635725,Myeloid,32,1.941536511743256,0.0033322856402149296,-29.686747764593658,0.9992162062284382,-31.237798150736424,0.9993360784192652
8.605451,16.31081,Endothelial (Macro),36,2.2305180850222497,0.0007243981180349394,-29.5650529227468,0.9992162062284382,-31.142051452262674,0.9993360784192652
-1.8133941,-6.095724,Airway Epithelium,34,,,,,,
13.187855,3.7738073,Myeloid,49,0.48981513411725924,0.43892661763465113,-0.6362240368495147,0.9992162062284382,-1.1260379415570407,0.9993360784192652
16.279167,5.674664,Myeloid,44,,,,,,
11.557839,-6.097154,Lymphoid,34,-33.07508352567784,0.999127929492261,-31.419277132584142,0.9992162062284382,,
15.431363,5.980012,Myeloid,29,-32.22780072902129,0.999127929492261,-30.571994335933816,0.9992162062284382,,
0.90726036,2.3293374,Airway Epithelium,31,,,,,,
15.943106,2.8901055,Myeloid,50,-0.5017364360178241,0.48002166038648286,-2.0233311326178804,0.9992162062284382,-1.5215946401245286,0.9993360784192652
8.703556,12.368095,Fibroblasts,46,-34.247007226264984,0.999127929492261,-31.148505792289317,0.9992162062284382,,
0.6756536,-3.6448607,Airway Epithelium,34,1.2672906761908778,0.09733850530183354,3.1843643147275693,0.00024157813324848126,1.917073738992688,0.08769556921736825
3.7075386,6.9534435,Distal Epithelium,44,-1.8629288531153043,0.0149932742749041,-31.415690227010277,0.9992162062284382,-29.6768188393189,0.9993360784192652
12.434108,4.0161242,Myeloid,32,2.9808132740607647,0.00012245588199769617,2.1615892493112545,0.3542944663917611,-0.8192250148664948,0.9993360784192652
13.520307,2.9197702,Myeloid,31,-1.1055920255332028,0.3507102986613191,3.3080599507770194,8.257051258996589e-06,4.4136510007870395,0.0001535014336982847
15.514176,3.6498861,Myeloid,46,2.3055744925010933,5.357470537465052e-05,-0.6649591419705436,0.9992162062284382,-2.970533590376189,0.3128672946588275
4.466847,6.845496,Distal Epithelium,38,0.48180485625492897,0.5303160345331762,-29.609728033937994,0.9992162062284382,-31.054684000002993,0.9993360784192652
16.217783,4.3608937,Myeloid,59,-1.3455976810746966,0.046414405133994426,0.294209043551521,0.9992162062284382,1.6398068814559035,0.35303325386053025
-4.162718,3.6914828,Proximal Epithelium,32,4.020442754887263,8.18865121635921e-05,,,-30.823874454763864,0.9993360784192652
-3.016959,2.8822186,Airway Epithelium,29,-32.642571234041114,0.999127929492261,-30.986764840951757,0.9992162062284382,,
-1.3547921,4.559429,Airway Epithelium,38,-33.3775722671276,0.999127929492261,-31.72176587403849,0.9992162062284382,,
-1.149419,-5.7976027,Proximal Epithelium,70,2.0431371328798145,2.1052908548161514e-05,-31.160496053342193,0.9992162062284382,-32.79112093285284,0.9993360784192652
7.1244335,18.037842,Endothelial (Macro),32,1.77171986699374,0.011584126885368397,-0.15861947126902778,0.9992162062284382,-1.930340813342624,0.7905839299420815
